M0H
310573.622702471000000000
170462.570968475000000000
29823.075481614600000000
1069.319880533470000000
M0L
1528302.962202980000000000
999604.492091022000000000
327348.662595314000000000
42744.478799791400000000
F0H
182920.253024348000000000	1	0	0	0.45	0.2	0.05	0.3
72163.843362868200000000	0.85	0.12	0.03	0.45	0.2	0.05	0.3
5432.144196037120000000	0.75	0.2	0.05	0.45	0.2	0.05	0.3
207.312047861963000000	0.7	0.24	0.06	0.45	0.2	0.05	0.3
F0L
1672209.667863740000000000	1	0	0	0.45	0.2	0.05	0.3
867028.380928259000000000	0.85	0.12	0.03	0.45	0.2	0.05	0.3
178914.468638272000000000	0.75	0.2	0.05	0.45	0.2	0.05	0.3
24000.091057899400000000	0.7	0.24	0.06	0.45	0.2	0.05	0.3
MH,0																									
2992.587649		1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0.971435	0.0219103	0.00665463	1	0	0	1	0	0
17632.29213		0.9	0	0.03	0	0.07	0.97	0	0.01	0.01	0.01	0	0	0.98	0.01	0.01	0.922086	0.0584544	0.0194597	0.86	0.02	0.12	0.9	0.01	0.09
14359.32819		0.8	0	0.06	0	0.14	0.94	0	0.01	0.01	0.02	0.01	0.01	0.98	0.01	0.01	0.919859	0.0518182	0.0283232	0.9	0.01	0.09	0.82	0.02	0.16
7067.373569		0.7	0	0.08	0	0.22	0.93	0	0.01	0.01	0.03	0.01	0.01	0.98	0.01	0.01	0.916418	0.0493037	0.0342786	0.92	0.01	0.07	0.75	0.03	0.22
3106.893046		0.6	0	0.1	0	0.3	0.92	0	0.01	0.01	0.04	0.01	0.01	0.98	0.01	0.01	0.916442	0.049009	0.0345488	0.93	0.01	0.06	0.75	0.03	0.22
1655.484666		0.5	0	0.12	0	0.38	0.93	0	0.01	0.01	0.03	0.01	0.01	0.98	0.01	0.01	0.926089	0.0428026	0.0311087	0.93	0.01	0.06	0.75	0.03	0.22
1314.25106		0.45	0	0.13	0	0.42	0.94	0	0.01	0.01	0.02	0.01	0.01	0.98	0.01	0.01	0.942983	0.0323165	0.0247007	0.93	0.01	0.06	0.75	0.03	0.22
1572.414222		0.4	0	0.14	0	0.46	0.97	0	0	0	0.02	0	0.01	0.99	0	0.01	0.96307	0.0203416	0.0165889	0.93	0.01	0.06	0.75	0.03	0.22
1917.381176		0.35	0	0.15	0	0.5	0.97	0	0	0	0.02	0	0.01	0.99	0	0.01	0.978417	0.0115274	0.0100554	0.94	0	0.06	0.8	0.02	0.18
2916.336135		0.3	0	0.16	0	0.54	0.97	0	0	0	0.02	0	0.01	1	0	0	0.988136	0.00616548	0.00569811	0.95	0	0.05	0.85	0.02	0.13
3990.245057		0.3	0	0.14	0	0.56	0.99	0	0	0	0.01	0	0	1	0	0	0.993923	0.00309613	0.002981	0.96	0	0.04	0.89	0.02	0.09
4973.222944		0.3	0	0.12	0	0.58	0.99	0	0	0	0.01	0	0	1	0	0	0.996422	0.00179688	0.00178086	0.97	0	0.03	0.93	0.01	0.06
4616.096862		0.3	0	0.1	0	0.6	0.99	0	0	0	0.01	0	0	1	0	0	0.998367	0.000818739	0.000814645	0.98	0	0.02	0.96	0	0.04
1610.347313		0.3	0	0.08	0	0.62	0.99	0	0	0	0.01	0	0	1	0	0	0.999313	0.000347934	0.000338932	0.99	0	0.01	0.99	0	0.01
